"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW5,SW2,SW4,SW3";"SW_Cherry_MX_1.00u_PCB";5;"SW_Push";;;
2;"D1,D2";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";2;"SK6812";;;
3;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
